userName,score,at,content
Favian R.F,1,2026-05-07 05:48:56,"buka loadingnya lama banget loginnya, pake bilang koneksi terputus aku buka aplikasi lain lancar"" aja aneh emang tolong di perbaikan"
Don Djagom,1,2026-05-07 05:45:44,"m- banking paling susah prosesnya kalau sinyal menurun dan sangat susah utk loading, menjengkelkan ketika di ganti ke wonder."
Husnul Khotimah,5,2026-05-07 05:38:13,bagus
Ati Suryati,3,2026-05-07 05:24:59,aplikasi gabisa kebuka slalu ada kendala
Arinda nur Azzahra,5,2026-05-07 05:15:29,sangat bagus dan mudah digunakan transaksi
Mulang Maay,1,2026-05-07 05:13:47,"aplikasi sampah, buat lu pada nih ya mending jangan download entar lu pada bakal nyesel"
Sintoriyadi Saptoto,5,2026-05-07 04:58:41,mantap
Ida Wati,5,2026-05-07 04:28:15,sering troble
Murtiningsih M,5,2026-05-07 04:26:27,layanan cepat
Agus Wahyudi,5,2026-05-07 04:19:16,oke mantab
Farrel Pratama,5,2026-05-07 04:18:49,jossssssss
MasBambang Bagus,5,2026-05-07 04:00:03,cepat reaksinya program
SAHRUDDIN Aldhy,4,2026-05-07 03:56:30,aman untuk digunakan bisa dipercaya
Ibnu Munawar,5,2026-05-07 03:52:43,"joss apk nya, pas buat juga satpam nya ramah. proses tidak ribet."
Ari Binjai,2,2026-05-07 03:43:00,transaksi gagal saldo berkurang mau buat pengaduan gk ada respon sama sekali buat kecewa nasabah aja
Memez Mica,3,2026-05-07 03:37:06,mudah dan nyaman
Ridoh Tbn,5,2026-05-07 03:22:32,Good
pengsing ham,5,2026-05-07 03:18:30,oke👍🙏
Rini Masita,5,2026-05-07 03:01:27,"msih Bru pkai aplikasi ini..msih belajar aku nya..mudah"" gampang di gunakan"
sardion simbolon,5,2026-05-07 02:53:10,good
Sukri,5,2026-05-07 02:37:04,mntap bngt
astika i putu,5,2026-05-07 02:29:53,bagus
Halimah Indrawati,5,2026-05-07 02:28:31,sangat baik
Fadli Rusli,2,2026-05-07 02:16:45,"Bahaya, tidak ada sisa saldo terakhir di setiap riwayat transaksi, bikin bingung berapa saldo awal sebelum transaksi, rawan penyalahgunaan.. Kalau ada oknum nakal yg ambil 100/200 ribu aja tiap bulan lewat celah sistem, pengguna tidak akan sadar.. Lebih baik BNI mobile banking yang lama, ketahuan sisa saldo setiap kali ada transaksi, jadi gampang dihitung.."
muzakki spdi,5,2026-05-07 02:16:20,josss.....
nova Dirniati,3,2026-05-07 01:52:18,banyak fitur nya kurang maksimal
Asni Isra,5,2026-05-07 01:41:31,sukses selalu
JATIRAGA Creator,4,2026-05-07 01:39:23,sering gangguan
Wandy Barus,1,2026-05-07 01:36:54,selalu gagal top up ke e-wallet. padahal saldo dan minimum saldo tertimbun masih cukup dan lebih. aneh banget aplikasinya. useless
Amir Gozal,5,2026-05-07 01:07:03,memabantu
Windra Utomo,5,2026-05-07 01:05:29,baik
benri Anto,5,2026-05-07 01:02:38,sip mantap keren
Winardi 001,5,2026-05-07 00:29:00,sangat bagus untuk transaksi sehari hari
Adrian Siregar,5,2026-05-07 00:25:43,sangat memuaskan
Wiranto Udango,5,2026-05-07 00:16:06,bagus
Hasriadi,5,2026-05-06 23:59:58,sangat membatu
Ghany Agam,5,2026-05-06 22:57:41,ok
Amirr Hakki,5,2026-05-06 22:57:19,mantap
Muhammad Ali,5,2026-05-06 21:43:28,baik
